param,model_var,int,slope,rule,buffer
time,input.af_h5_f,23.713,0.971,get_barcode_qc_metrics,5
memory,input.af_h5_f,626.718,36.119,get_barcode_qc_metrics,2048
time,input.af_h5_f,27.782,0.423,make_one_pb_empty,5
memory,input.af_h5_f,444.706,26.795,make_one_pb_empty,2048
time,input.af_h5_f,1776.872,19.572,run_cellbender,5
memory,input.af_h5_f,2198.54,100.497,run_cellbender,2048
time,raw_data_size,723.035,146.321,run_mapping,5
memory,,,,run_mapping,
time,input.af_h5_f,33.285,1.692,run_qc,5
memory,input.af_h5_f,1477.305,34.411,run_qc,2048
time,,,,save_alevin_to_h5,
memory,,,,save_alevin_to_h5,
time,n_smpls_pre_qc,19.304,0.382,calculate_ambient_genes,5
memory,n_smpls_pre_qc,897.692,4.225,calculate_ambient_genes,2048
time,n_smpls_pre_qc,-5.484,3.479,create_doublets_hvg_matrix,5
memory,n_smpls_pre_qc,1018.997,32.891,create_doublets_hvg_matrix,2048
time,n_smpls_pre_qc,-26.241,4.068,create_hvg_matrix,5
memory,n_smpls_pre_qc,-380.442,84.827,create_hvg_matrix,2048
time,n_smpls_pre_qc,7.003,0.164,get_highly_variable_genes,5
memory,n_smpls_pre_qc,184.206,23.85,get_highly_variable_genes,2048
time,n_smpls_pre_qc,-0.021,0.033,get_qc_sample_statistics,5
memory,n_smpls_pre_qc,74.847,3.268,get_qc_sample_statistics,2048
time,n_smpls_pre_qc,16.982,4.097,make_pb_all,5
memory,n_smpls_pre_qc,5118.841,228.222,make_pb_all,2048
time,n_smpls_pre_qc,-13.636,7.108,make_tmp_csr_matrix,5
memory,n_smpls_pre_qc,4887.301,213.76,make_tmp_csr_matrix,2048
time,n_smpls_pre_qc,20.972,0.058,merge_pb_empty,5
memory,n_smpls_pre_qc,989.899,0.835,merge_pb_empty,2048
time,n_smpls_pre_qc,-1.559,0.619,merge_qc,5
memory,n_smpls_pre_qc,83.164,11.026,merge_qc,2048
time,n_smpls_pre_qc,0.651,0.055,merge_rowdata,5
memory,n_smpls_pre_qc,112.644,7.437,merge_rowdata,2048
time,n_smpls_pre_qc,-2.67,0.977,merge_sample_std_var_stats,5
memory,n_smpls_pre_qc,118.578,13.978,merge_sample_std_var_stats,2048
time,n_smpls_pre_qc,-21.692,10.903,render_html_ambient,5
memory,n_smpls_pre_qc,1159.674,50.936,render_html_ambient,2048
time,n_smpls_pre_qc,30.232,0.026,render_html_hvgs,5
memory,n_smpls_pre_qc,924.453,-0.916,render_html_hvgs,2048
time,n_smpls_pre_qc,50.743,2.07,render_html_integration,5
memory,n_smpls_pre_qc,1287.129,25.895,render_html_integration,2048
time,n_smpls_pre_qc,-68.912,18.197,render_html_mapping,5
memory,n_smpls_pre_qc,3421.28,162.045,render_html_mapping,2048
time,n_smpls_pre_qc,87.776,5.5,render_html_marker_genes,5
memory,n_smpls_pre_qc,1145.481,108.905,render_html_marker_genes,2048
time,n_smpls_pre_qc,28.235,1.683,render_html_qc,5
memory,n_smpls_pre_qc,1059.664,25.063,render_html_qc,2048
time,,,,run_integration,
memory,,,,run_integration,
time,n_smpls_pre_qc,299.509,20.916,run_marker_genes,5
memory,n_smpls_pre_qc,8819.568,1427.289,run_marker_genes,2048
time,,,,run_cell_calling,
