param,model_var,rq_intercept,rq_slope,rule,chemistry,floor
memory,"",,,build_hto_index,"",2048
time,"",,,build_hto_index,"",600
memory,"",,,calculate_ambient_genes,"",2048
time,"",,,calculate_ambient_genes,"",600
memory,"",,,convert_h5ad_to_sce,"",2048
time,"",,,convert_h5ad_to_sce,"",600
memory,n_smpls_pre_qc,5434.922,108.732,create_doublets_hvg_matrix,"",2048
time,"",,,create_doublets_hvg_matrix,"",600
memory,n_smpls_pre_qc,2678.516,98.661,create_hvg_matrix,"",2048
time,"",,,create_hvg_matrix,"",600
memory,input.af_h5_f,865.818,46159.847,get_barcode_qc_metrics,3v3,2048
time,"",,,get_barcode_qc_metrics,3v3,600
memory,input.af_h5_f,389.354,46386.675,get_barcode_qc_metrics,3v4,2048
time,"",,,get_barcode_qc_metrics,3v4,600
memory,"",,,get_estimated_variances,"",2048
time,"",,,get_estimated_variances,"",600
memory,n_smpls_pre_qc,273.329,31.281,get_highly_variable_genes,"",2048
time,"",,,get_highly_variable_genes,"",600
memory,"",,,get_mean_var_for_group,"",2048
time,"",,,get_mean_var_for_group,"",600
memory,n_smpls_pre_qc,64.053,22.557,get_qc_sample_statistics,"",2048
time,"",,,get_qc_sample_statistics,"",600
memory,"",,,get_stats_for_std_variance_for_group,"",2048
time,"",,,get_stats_for_std_variance_for_group,"",600
memory,input.af_h5_f,310.198,9279.022,get_stats_for_std_variance_for_sample,"",2048
time,"",,,get_stats_for_std_variance_for_sample,"",600
memory,input.af_h5_f,4310.429,10258.961,make_clean_h5ads,3v3,2048
time,"",,,make_clean_h5ads,3v3,600
memory,input.af_h5_f,3083.451,10124.174,make_clean_h5ads,3v4,2048
time,"",,,make_clean_h5ads,3v4,600
memory,"",,,make_hto_sce_objects,"",2048
time,"",,,make_hto_sce_objects,"",600
memory,input.af_h5_f,1325.138,33339.312,make_one_pb_cells,"",2048
time,"",,,make_one_pb_cells,"",600
memory,input.af_h5_f,766.413,39685.557,make_one_pb_empty,"",2048
time,"",,,make_one_pb_empty,"",600
memory,n_smpls_pre_qc,19356.324,305.729,make_tmp_csr_matrix,"",2048
time,n_smpls_pre_qc,25.2,11.268,make_tmp_csr_matrix,"",600
memory,n_smpls_pre_qc,626.706,45.726,merge_labels,"",2048
time,"",,,merge_labels,"",600
memory,"",,,merge_pb_cells,"",2048
time,"",,,merge_pb_cells,"",600
memory,"",,,merge_pb_empty,"",2048
time,"",,,merge_pb_empty,"",600
memory,n_smpls_pre_qc,876.934,21.586,merge_qc,"",2048
time,"",,,merge_qc,"",600
memory,"",,,merge_rowdata,"",2048
time,"",,,merge_rowdata,"",600
memory,n_smpls_pre_qc,1144.086,11.7,merge_sample_std_var_stats,"",2048
time,"",,,merge_sample_std_var_stats,"",600
memory,n_smpls_pre_qc,1645.408,55.491,render_html_ambient,"",2048
time,n_smpls_pre_qc,13.146,16.14,render_html_ambient,"",600
memory,"",,,render_html_hvgs,"",2048
time,"",,,render_html_hvgs,"",600
memory,n_smpls_pre_qc,1696.479,48.452,render_html_integration,"",2048
time,n_smpls_pre_qc,85.51,4.637,render_html_integration,"",600
memory,n_smpls_pre_qc,1155.869,32.301,render_html_label_celltypes,"",2048
time,"",,,render_html_label_celltypes,"",600
memory,n_smpls_pre_qc,2274.314,26.921,render_html_mapping,"",2048
time,n_smpls_pre_qc,123.215,26.476,render_html_mapping,"",600
memory,n_smpls_pre_qc,4755.038,94.419,render_html_marker_genes,"",2048
time,"",,,render_html_marker_genes,"",600
memory,"",,,render_html_multiplexing,"",2048
time,"",,,render_html_multiplexing,"",600
memory,n_smpls_pre_qc,1605.29,40.721,render_html_qc,"",2048
time,"",,,render_html_qc,"",600
memory,"",,,render_html_zoom,"",2048
time,"",,,render_html_zoom,"",600
memory,"",,,run_cell_calling,"",2048
time,"",,,run_cell_calling,"",600
memory,input.af_h5_f,3387.263,139719.161,run_cellbender,3v3,2048
time,input.af_h5_f,2939.252,35470.44,run_cellbender,3v3,600
memory,input.af_h5_f,2414.913,121269.302,run_cellbender,3v4,2048
time,input.af_h5_f,609.719,60462.022,run_cellbender,3v4,600
memory,n_smpls_pre_qc,-2130.834,147.213,run_celltypist,"",2048
time,"",,,run_celltypist,"",600
memory,"",,,run_decontx,"",2048
time,"",,,run_decontx,"",600
memory,n_smpls_pre_qc,10658.152,0,run_fgsea,"",2048
time,"",,,run_fgsea,"",600
memory,n_smpls_pre_qc,1732.912,396.721,run_integration,"",2048
time,"",,,run_integration,"",600
memory,n_run_mapping,8314.08,68.486,run_mapping,"",2048
time,raw_data_size,1606.419,294.193,run_mapping,"",600
memory,"",,,run_mapping_flex,"",2048
time,"",,,run_mapping_flex,"",600
memory,"",,,run_mapping_hto,"",2048
time,"",,,run_mapping_hto,"",600
memory,n_smpls_pre_qc,13365.768,2156.211,run_marker_genes,"",2048
time,n_smpls_pre_qc,2627.518,10.947,run_marker_genes,"",600
memory,input.af_h5_f,1291.05,48528.688,run_qc_one_run,3v3,2048
time,input.af_h5_f,60.106,1680.912,run_qc_one_run,3v3,600
memory,input.af_h5_f,3638.425,45985.942,run_qc_one_run,3v4,2048
time,input.af_h5_f,408.692,0,run_qc_one_run,3v4,600
memory,n_smpls_pre_qc,1171.937,17.957,run_scprocess_labeller,"",2048
time,"",,,run_scprocess_labeller,"",600
memory,"",,,save_alevin_hto_to_h5,"",2048
time,"",,,save_alevin_hto_to_h5,"",600
memory,raw_data_size,2265.283,289.095,save_alevin_to_h5,3v3,2048
time,"",,,save_alevin_to_h5,3v3,600
memory,raw_data_size,6885.076,327.776,save_alevin_to_h5,3v4,2048
time,"",,,save_alevin_to_h5,3v4,600
memory,"",,,zoom_calculate_ambient_genes,"",2048
time,"",,,zoom_calculate_ambient_genes,"",600
memory,"",,,zoom_create_hvg_matrix,"",2048
time,"",,,zoom_create_hvg_matrix,"",600
memory,"",,,zoom_get_estimated_variances,"",2048
time,"",,,zoom_get_estimated_variances,"",600
memory,"",,,zoom_get_highly_variable_genes,"",2048
time,"",,,zoom_get_highly_variable_genes,"",600
memory,"",,,zoom_get_mean_var_for_group,"",2048
time,"",,,zoom_get_mean_var_for_group,"",600
memory,"",,,zoom_get_stats_for_std_variance_for_group,"",2048
time,"",,,zoom_get_stats_for_std_variance_for_group,"",600
memory,"",,,zoom_get_stats_for_std_variance_for_sample,"",2048
time,"",,,zoom_get_stats_for_std_variance_for_sample,"",600
memory,"",,,zoom_make_one_pb_cells,"",2048
time,"",,,zoom_make_one_pb_cells,"",600
memory,"",,,zoom_make_subsets,"",2048
time,"",,,zoom_make_subsets,"",600
memory,"",,,zoom_make_tmp_csr_matrix,"",2048
time,"",,,zoom_make_tmp_csr_matrix,"",600
memory,"",,,zoom_merge_pb_cells,"",2048
time,"",,,zoom_merge_pb_cells,"",600
memory,"",,,zoom_run_fgsea,"",2048
time,"",,,zoom_run_fgsea,"",600
memory,"",,,zoom_run_integration,"",2048
time,"",,,zoom_run_integration,"",600
memory,"",,,zoom_run_marker_genes,"",2048
time,"",,,zoom_run_marker_genes,"",600
